Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.315462,676735.0,0.229601,44226.7,-3.170577045022194e-08,-3.170577045022194e-08,2467454137.0957313,6.90596,36.599894,72.276862,1.00014,23.294929,69.758549,0.035785,0.035786,0.035785,96.6248,96.625442,96.625127,96.6248,96.625442,96.625127
0.45557,31834.3,0.240035,68776800.0,1958967025.9987319,-3.170577045022194e-08,5127096831.781972,1.29436,38.429159,38.420712,1.03057,51.714151,64.657759,0.206638,0.206176,0.206381,38.4178,38.420712,38.429158,38.4178,38.420712,38.429159
0.164831,21190500.0,0.108366,7193290.0,-3.170577045022194e-08,-3.170577045022194e-08,1336245950.4888422,4.96242,8.485499,67.490086,7.69315,6.627098,69.166456,0.006363,0.006363,0.006363,67.0511,67.051106,67.051103,67.0511,67.051106,67.051103
0.856009,3076940.0,0.34676,72664200.0,575679771.7184528,-3.170577045022194e-08,6964187128.160374,2.908,14.56181,14.561119,6.4029,54.013773,54.046359,0.123369,0.121408,0.121423,14.659,14.561119,14.56181,14.659,14.561119,14.56181
0.616874,17678200.0,0.247039,10051300.0,-3.170577045022194e-08,-3.170577045022194e-08,1003264707.1730614,7.11271,24.728707,75.113075,1.83603,2.431424,66.754045,0.066338,0.066338,0.066338,63.0171,63.017129,63.017113,63.0171,63.017129,63.017113
0.881326,414566.0,0.176453,16115700.0,-3.170577045022194e-08,-3.170577045022194e-08,5841413035.956832,12.0973,52.606265,57.475711,5.37165,59.877323,67.645949,0.233626,0.23363,0.233633,75.9937,75.996563,75.996714,50.662467,50.664375,50.664476
0.44756,2183770.0,0.336035,1254380.0,-3.170577045022194e-08,-3.170577045022194e-08,1876028456.6044617,2.37587,30.122036,51.288673,1.03494,20.02879,42.427963,0.276078,0.27604,0.276092,30.9132,30.910206,30.915511,20.6088,20.606804,20.61034
0.705615,46728.3,0.217116,1677760.0,2978339251.7438173,-3.170577045022194e-08,2420794825.7903614,1.1396,45.727728,57.100074,10.1235,35.115909,68.670165,0.141474,0.141368,0.141498,57.093,57.100074,57.106042,57.093,57.100074,57.106042
0.80609,14686300.0,0.149107,7592260.0,-3.170577045022194e-08,-3.170577045022194e-08,5770593726.833744,8.95296,50.806303,54.965575,3.0174,52.818536,57.572158,0.046863,0.046856,0.046857,24.0241,24.022667,24.023103,24.0241,24.022667,24.023103
0.277129,183658.0,0.266505,54581.0,-3.170577045022194e-08,6469730500.951173,6647298297.056284,6.73472,72.636543,75.629622,1.59439,76.013771,76.013734,0.02227,0.022271,0.022271,76.0121,76.013734,76.013771,76.0121,76.013734,76.013771
0.886053,15525700.0,0.480114,375586.0,-3.170577045022194e-08,452292010.14584655,1371120986.148121,2.76958,13.405525,11.806411,1.47026,10.680298,10.489635,0.10673,0.094866,0.106109,10.622,10.489635,10.680296,10.622,10.489635,10.680298
0.925947,177989.0,0.271876,1514780.0,69168484.46417248,950860811.6677235,2620058737.3382864,2.44978,7.636401,7.238489,1.28307,7.636401,7.238489,0.146033,0.000199,0.028435,7.72133,7.238488,7.636401,7.72133,7.238489,7.636401
0.885546,101550.0,0.169596,45352500.0,-3.170577045022194e-08,-3.170577045022194e-08,4879772983.7386055,11.8556,47.435824,59.221713,4.89062,53.029195,67.601042,0.011816,0.011817,0.011817,99.1803,99.184433,99.182982,99.1803,99.184433,99.182982
