Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.11239,5811017862.804103,6.4353,65.631099,73.466525
0.535232,5220144253.811583,1.0563,28.040308,30.429409
0.882662,4342267785.930885,1.26785,37.553762,43.596988
0.387074,1916736920.4250915,14.0747,18.268359,26.10132
0.953991,3620268344.3629074,10.3214,38.796736,49.228441
0.990922,3777756184.568177,11.0109,41.173299,52.843949
0.97088,1308385473.0026217,3.64325,29.416073,50.660186
0.767698,6469448984.931233,4.41011,37.526908,38.378048
0.493294,3038219779.4680395,1.74893,22.69093,28.960365
0.887912,3856646189.9158993,9.70518,36.767674,44.081852
0.945029,5197383938.247194,0.826556,42.806886,48.382421
0.420803,5482110947.963222,8.71092,25.193345,26.891163
0.409756,6329846816.912445,5.20794,25.580616,26.376027
0.873096,6542266914.474309,5.24953,42.239142,43.116478
0.973212,5412904784.070414,14.5777,45.219666,50.939226
0.557257,3695912328.1328635,10.3126,26.858606,31.743094
0.893161,1606139804.3965688,1.74148,28.598554,44.325103
0.336287,4236908149.882086,7.0686,96.59993,114.72843
0.807965,4587281249.382257,8.05811,35.519184,40.086332
0.709022,2574036986.1027412,8.21345,27.961038,36.5236
0.381013,5355349566.838332,5.4621,23.82469,25.692694
0.883737,1651541162.1532102,5.09402,28.784387,43.76389
0.646936,6408132606.206073,1.63609,33.582179,34.402833
0.363653,6386435788.152146,2.78156,24.357515,25.108837
0.833812,1454453827.0508811,1.15263,25.973642,41.033075
0.833536,5607093817.246381,1.16629,38.386473,41.021968
0.438253,3143817344.975866,2.99465,21.388339,27.097842
0.114273,5607003160.930655,3.59755,58.500976,70.188935
0.663527,6117809755.15372,5.29795,33.811483,35.054029
0.577553,2216717665.1111884,1.15404,23.041199,32.088683
0.980508,3541583980.465974,11.4095,39.742582,51.670305
0.740794,4810547668.822663,8.45208,33.887565,37.536069
0.78561,3587449966.158843,1.5504,32.213935,38.960087
0.426902,4816788389.004303,0.836619,23.400473,26.300478
0.310759,3613600168.953928,1.13049,78.854624,107.92619
0.441582,6446805361.297101,14.8053,27.005569,27.655143
0.403134,6040872654.5182495,2.11274,24.735921,25.867658
0.717231,5690236463.775986,6.54429,34.715187,36.75723
0.648894,5393695766.314423,1.17399,32.064963,34.411886
0.495251,4302286667.937298,2.54656,25.428635,29.125501
0.677235,4622550904.867623,10.7909,31.852119,35.546476
0.360508,3664399773.9803767,1.1157,19.678412,24.680124
0.361975,4876234342.977535,0.89507,21.782943,24.615434
0.880982,4454581350.441191,0.862588,37.755247,43.464226
0.539878,6121718957.105271,4.82586,29.875142,30.933625
0.210698,5790269177.505331,2.09724,85.278868,92.839966
0.414903,4145147614.68534,2.40562,22.499231,26.26019
0.883526,5400717346.569506,11.2906,40.370124,43.802246
0.197961,4600128602.708443,4.82634,78.933492,93.891055
0.480196,2976859627.1638384,4.74051,22.6582,28.741229
0.901677,5634011990.839773,2.95463,41.805176,45.007567
