Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.823121,0.191348449,0.41205,0.025801170840000002,-3.170577045022194e-08,-3.170577045022194e-08,2473676844.966626,8.53504,31.288544,42.476048,10.3369,20.174654,26.893769,0.121703,0.121703,0.121707,49.6946,49.696921,49.696406,45.632376,45.634483,45.633765
0.838532,0.1581702614,0.685689,1.020189686,25106537.729866836,215300.3804692454,2574014632.6056237,2.90741,4.261238,2.708173,2.22667,4.261238,2.708173,0.046739,0.0,0.0,4.83828,2.708173,4.261236,4.775675,2.708173,4.261238
0.58746,0.0941478462,0.323404,0.07116212499999999,-3.170577045022194e-08,-3.170577045022194e-08,4583712214.693563,1.08782,28.978148,32.594539,5.94118,97.098489,112.839822,0.251708,0.251713,0.251713,80.6707,80.672071,80.672022,58.174762,58.175083,58.175058
0.204783,0.602865022,0.126002,5.68798668,-3.170577045022194e-08,-3.170577045022194e-08,1448984150.8299315,9.21683,22.991648,86.217559,5.69079,11.647818,54.358266,0.22537,0.225542,0.225565,42.2351,42.262776,42.264359,32.281039,32.290326,32.289937
0.69532,0.19528653340000002,0.550488,2.6158077480000004,-3.170577045022194e-08,-3.170577045022194e-08,4818247149.530666,6.15125,32.918765,36.522985,6.8194,31.983552,37.152525,0.056693,0.056697,0.056697,88.6136,88.618524,88.617832,86.936687,86.941251,86.940599
0.298106,0.02776948762,0.164077,0.1558845576,-3.170577045022194e-08,-3.170577045022194e-08,5102353955.21245,11.2396,100.409543,112.017138,1.69251,69.274041,83.869478,0.004281,0.004281,0.004281,55.4922,55.49322,55.493224,55.4861,55.487119,55.487123
0.140323,0.028852035039999998,0.101505,1.215860692,-3.170577045022194e-08,-3.170577045022194e-08,2037352041.867318,3.54771,7.620024,81.259012,1.20978,1.195553,51.233661,0.043587,0.043621,0.04362,42.5545,42.57313,42.572034,42.074819,42.092499,42.091455
0.884898,0.02851187614,0.456513,0.02931639846,-3.170577045022194e-08,-3.170577045022194e-08,3849363825.4540963,1.46551,36.476152,43.910895,12.9097,24.028952,28.221691,0.11727,0.117271,0.117271,76.9618,76.96216,76.962103,71.087191,71.087457,71.087408
0.695977,0.364920954,0.228274,1.097790702,-3.170577045022194e-08,-3.170577045022194e-08,6294321449.749139,0.944466,34.973379,36.032747,1.85196,90.294639,94.686233,0.083682,0.083686,0.083686,95.9867,95.989454,95.989425,92.114095,92.116383,92.116357
0.91073,1.7320569479999999,0.289802,1.0765453580000002,-3.170577045022194e-08,-3.170577045022194e-08,6154175298.472419,0.882049,39.926152,40.012804,2.91114,67.065926,67.03845,0.050908,0.051069,0.051098,38.3994,38.536842,38.538037,37.811336,37.942982,37.943496
0.185877,0.01194454494,0.150262,0.044941976800000005,-3.170577045022194e-08,-3.170577045022194e-08,4831565167.531399,9.70565,80.176653,92.653684,1.11423,56.088825,78.312803,0.132688,0.132689,0.132689,72.7147,72.714917,72.714918,65.753524,65.75366,65.75366
0.423728,0.038550080400000006,0.42061,0.027726624760000002,-3.170577045022194e-08,-3.170577045022194e-08,2190112791.0229406,3.95859,19.084084,26.033212,1.48683,18.036674,25.872296,0.259122,0.259199,0.259222,28.9855,28.994442,28.995251,20.549208,20.551871,20.551376
0.529,0.0621609244,0.252298,0.02016251272,-3.170577045022194e-08,-3.170577045022194e-08,4207851053.1983614,2.23151,26.406779,30.402005,1.05368,73.804807,97.178349,0.296329,0.296331,0.296331,85.9398,85.940404,85.940373,55.701209,55.701296,55.701285
0.255021,0.2192181392,0.194077,6.63670988,-3.170577045022194e-08,-3.170577045022194e-08,1510837994.766797,1.03668,4.349661,81.685181,1.80272,32.268953,42.886544,0.260085,0.261965,0.262172,35.6162,35.843179,35.857126,25.193647,25.243433,25.24107
0.502807,0.053507925399999996,0.102391,0.0871279884,-3.170577045022194e-08,-3.170577045022194e-08,4542690760.695157,1.04134,25.734068,29.189416,7.76419,45.855999,69.912206,0.07619,0.07619,0.07619,82.3262,82.326395,82.326387,79.554034,79.554202,79.554194
0.126269,0.0673319074,0.117927,3.1434467159999997,-3.170577045022194e-08,-3.170577045022194e-08,1013590470.9423223,5.96952,3.499433,71.975077,9.81848,19.069973,37.390192,0.09372,0.093732,0.093809,22.8168,22.833146,22.837552,21.673643,21.6889,21.691292
0.804467,9.53703366,0.154804,0.0705625496,4792901077.996195,-3.170577045022194e-08,2118467055.8337338,2.01622,33.63003,42.555012,2.65011,8.1196,83.444637,0.242461,0.242826,0.24302,57.7314,57.839951,57.847127,42.509759,42.555012,42.541818
0.1094,0.16176455979999999,0.10841,1.978901604,-3.170577045022194e-08,-3.170577045022194e-08,4138723751.1246033,1.32039,8.334198,57.945723,4.30322,28.845082,68.376285,0.108342,0.108372,0.108372,47.9289,47.93701,47.93702,44.77186,44.777815,44.777808
0.849125,0.07986306480000001,0.660316,4.4307076599999995,-3.170577045022194e-08,-3.170577045022194e-08,3893979587.466049,13.2587,35.61398,42.373456,1.37311,40.675002,53.66005,0.255796,0.255941,0.255944,88.7017,88.746478,88.745295,63.369947,63.380715,63.379504
0.739099,0.072685507,0.205776,0.0917180046,-3.170577045022194e-08,-3.170577045022194e-08,2812854546.246653,4.38074,29.290578,36.932155,9.638,64.856279,84.846778,0.218413,0.218408,0.218424,37.6512,37.652579,37.653342,29.203426,29.204788,29.204439
0.75278,1.459147636,0.412833,9.7829195,-3.170577045022194e-08,-3.170577045022194e-08,4692177974.908077,6.53007,37.15715,42.992755,1.17839,36.330797,49.023366,0.133063,0.133255,0.133254,77.1866,77.259518,77.257778,69.759392,69.805802,69.804313
0.456528,0.498483392,0.274145,1.5912623879999999,-3.170577045022194e-08,-3.170577045022194e-08,3746366573.657779,8.22307,25.455025,31.087001,1.3308,67.328809,69.043561,0.044804,0.044904,0.044908,39.4171,39.470659,39.470794,38.947932,38.998787,38.998825
0.489707,4.05298462,0.418539,0.2711484338,-3.170577045022194e-08,-3.170577045022194e-08,3509148958.1987467,14.9548,25.865198,32.612432,4.35386,21.87597,26.741551,0.13218,0.132188,0.132186,96.0511,96.055318,96.05415,86.919664,86.92248,86.921662
0.191448,0.998915956,0.187314,0.01544460182,-3.170577045022194e-08,-3.170577045022194e-08,3437668584.1961803,0.983614,32.870063,80.781595,4.41512,60.593544,89.949029,0.264874,0.265048,0.26505,54.0721,54.101839,54.102056,37.823203,37.828512,37.828477
0.47158,1.1523075919999999,0.266267,0.0126866496,-3.170577045022194e-08,-3.170577045022194e-08,2264761367.6802974,8.9888,23.792628,32.257431,1.37892,26.288408,99.552202,0.182111,0.182133,0.182171,38.3212,38.333084,38.332848,31.930339,31.938917,31.936502
0.541811,0.117095404,0.288236,0.0114684171,-3.170577045022194e-08,-3.170577045022194e-08,5921108672.373775,4.18654,7.383191,7.366341,2.19774,10.65568,10.55103,0.247015,0.147855,0.162762,7.93218,6.997688,7.136461,5.781404,6.184086,6.154248
0.279788,2.34083572,0.134936,0.1624650632,-3.170577045022194e-08,-3.170577045022194e-08,4654604639.381609,3.32659,83.929786,90.745219,11.475,71.0909,84.055336,0.176232,0.176305,0.17631,49.9097,49.924933,49.925495,42.035356,42.042675,42.042746
0.1118,5.8041485,0.10505,0.024968577920000002,-3.170577045022194e-08,-3.170577045022194e-08,6229391889.426077,4.26086,54.497982,54.612495,1.1052,28.634261,48.164461,0.220361,0.220684,0.220688,38.8892,38.934551,38.9348,30.040701,30.055283,30.055266
0.452065,4.93345526,0.365589,0.17194567179999998,124485827.52060875,-3.170577045022194e-08,2413165859.8145924,4.40414,11.416066,11.803048,12.1015,12.860997,13.137524,0.163911,0.093476,0.133645,12.7351,12.422343,12.642211,10.960824,11.803048,11.416066
