Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.137734,5334668648.274545,2.89511,54.28239,65.557846
0.884644,2163191732.6344013,13.8771,30.274909,55.228725
0.300522,3836790353.7753997,4.44134,47.954454,70.695571
0.610004,6630169453.583466,4.14107,73.017247,75.018046
0.746563,6776077122.78086,5.26557,62.800989,63.865558
0.561304,3668048092.9763412,2.75116,52.899141,76.05809
0.524917,5863894525.866863,10.3441,70.728336,77.856749
0.283933,4066767078.21803,3.16762,48.243227,69.500442
0.145996,4044671042.12817,6.40653,46.888907,68.045412
0.581908,3129775161.5937223,1.10366,46.386559,74.60203
0.252778,5738832455.398006,12.3807,63.631404,71.5591
0.279663,5979611298.902013,4.60848,63.461786,70.25161
0.640685,4678705856.457093,1.28834,57.427619,71.612359
0.658975,2948772999.3330803,0.867319,42.375166,69.68719
0.546625,1097470037.4025521,4.09783,23.695282,76.656894
0.192187,3497924582.7311726,13.5124,45.556517,69.543443
0.954419,6405324698.697302,5.75966,47.948383,50.983316
0.88765,1050973023.223176,6.43444,20.039955,54.761723
0.46621,6824601384.957264,4.00087,73.651176,74.859702
0.308306,1618561577.7908223,1.35989,13.884055,68.076437
0.563472,3200121698.1621704,2.83248,48.770146,76.071275
0.10813,3534851587.7011137,13.0072,44.702436,70.925782
0.566507,6765447907.571767,3.92946,75.105573,76.43686
0.790365,5004495390.683289,4.34905,50.581724,60.350232
0.610217,6803040173.241781,3.84078,73.86706,74.923938
0.774259,3765029483.781338,13.1738,45.399462,62.193417
0.893094,3405109173.513646,0.923958,36.260017,53.697414
0.593559,1689003200.1832232,5.69462,34.265507,76.151273
0.436976,6406781488.100771,1.96127,68.299739,72.068064
0.628354,5809585730.165848,1.2776,65.482128,72.56425
0.593104,5305608720.722752,7.83794,66.321061,76.533416
0.678986,6159233988.067115,8.64541,65.481622,69.950341
0.729165,2058171297.14791,1.72831,32.512669,64.533712
0.532583,2475334528.784149,11.9728,44.700522,78.093473
0.348531,3639795120.773281,13.2108,50.326777,73.365082
0.60386,4126726137.3610864,2.9534,56.235049,74.975835
0.147932,1179653302.1174994,1.32202,1.393723,63.42611
0.814426,6144307863.372154,1.64481,54.321173,58.284161
0.295582,1458885548.8603258,12.4896,25.848199,72.97434
0.535652,5700232322.973288,13.2978,70.182644,78.235936
0.942133,2711499971.710046,10.3699,31.377833,52.090766
0.191382,1465752862.855908,6.87199,17.235798,67.825365
0.725415,2003622826.0303326,12.9902,34.850434,66.325205
0.989839,3291669419.9229856,11.919,32.07758,48.737809
0.11173,4161049214.0809255,14.2837,50.938162,71.021923
0.131615,2225169018.342499,3.58806,21.439162,66.154031
0.871021,5265508668.502609,12.498,48.374657,55.893271
0.416199,2388368297.0839133,8.04897,39.347221,73.584177
0.447831,4327500638.374393,3.57672,55.82797,73.707068
0.925899,4118552478.94645,5.11649,39.524252,52.924787
0.932699,2863676043.2873983,2.32633,31.871764,52.206491
0.901947,2472302597.5387278,2.88354,30.753038,53.810872
0.685187,2993628271.147129,4.73207,43.82196,68.885864
0.66096,3250648917.95845,1.87944,45.963137,70.226226
0.144127,1623433404.5964894,12.4849,22.618872,69.909332
0.22935,2749309529.779228,1.25575,28.688915,64.935197
0.793047,5125269485.734966,1.15763,50.215841,59.393496
0.415871,1973996134.8292613,1.2944,26.994366,70.214153
0.650274,6927529480.544228,8.99721,72.262862,72.652708
0.640597,2117571866.2080054,1.33872,35.471538,71.659238
0.973444,4736315428.547933,6.03297,39.461154,49.598845
0.847021,1511107778.7491665,5.89989,25.315597,56.924139
0.782471,3025807514.791419,2.64556,38.707503,60.598777
0.616074,5945329367.165706,1.59227,67.397714,73.628731
0.266482,1796810200.8237445,2.70555,20.638082,68.47467
0.428706,1467212571.9700909,1.47198,19.718432,71.103503
0.50468,2119444653.388071,5.87628,38.571062,76.788221
0.70296,4572575951.72927,1.02642,52.398059,66.217378
0.299076,1693147012.6948595,2.19577,18.967025,69.028567
0.458451,5025744105.740803,4.2102,61.825223,74.549292
0.443856,6026568694.157625,1.26321,65.535993,71.686773
0.836772,3207776307.9586773,0.926222,36.943982,56.61893
0.433889,3325935217.3264594,1.79629,44.956578,71.742253
0.178428,6558433515.082534,5.16963,64.159973,67.408608
0.410863,3565690393.0775304,5.23106,48.880601,72.57775
0.604196,4602226715.396357,6.45863,60.860068,75.820814
0.709074,2359798118.1627903,0.872969,35.033378,65.626409
0.767994,5827636024.219877,4.80907,56.409427,62.053694
0.989872,3817245361.0202003,1.34035,33.732035,48.087577
0.923599,4758709872.346795,8.30679,42.976399,53.243843
0.861052,4551318701.690851,1.56161,44.106247,55.489371
0.440628,4940116711.193138,0.80249,56.694723,70.700074
0.909464,5154968519.861418,1.11714,44.725174,53.172836
0.443759,2778877040.4976416,1.20926,38.656261,71.605347
0.840925,4111291633.5616355,7.87687,43.654869,57.440663
0.908334,1860291364.764904,11.0256,27.138245,54.123128
0.54221,4642347989.038169,8.99134,62.477417,77.708355
0.573369,1541861395.7823977,9.56211,33.711633,77.393038
0.57653,6807676477.810908,1.75894,74.190338,75.276912
0.986078,5884674096.135749,0.812469,42.663485,48.159023
0.412433,2858128578.562149,1.83359,39.147979,70.70308
0.851917,5458975002.299174,0.80866,48.718946,55.680227
0.944972,6952439243.524115,2.90125,51.186402,51.442586
0.919154,5621213847.230312,13.782,47.402422,53.682972
0.225204,5786957038.86803,3.40499,59.52748,67.332685
0.558784,2022003289.3902342,2.24295,35.830443,75.821874
0.546676,3221285471.570479,1.39045,47.344612,75.227845
0.221501,3649307437.815274,3.09951,42.325059,66.989699
0.102788,4320311072.275862,0.932144,37.327529,61.690559
0.44541,2417347278.511924,1.09462,34.225735,71.526264
0.256582,3121172183.839135,6.38595,41.170083,70.140524
0.40978,6425576857.706727,0.940023,65.593918,69.337947
0.277147,3143986475.035734,7.72521,42.672341,71.386537
0.60287,1042633083.6399696,11.4324,26.910751,76.516952
0.397674,5543302555.356598,2.15154,61.22687,70.454101
0.553299,2867179010.0582924,0.894183,43.184625,74.654945
0.445033,6745678575.625933,13.4123,74.319623,75.832808
0.204302,5598595984.787098,2.12529,56.598288,65.800863
0.760339,3961308899.181674,3.56911,46.26885,62.469258
0.41807,5557230910.863639,12.7981,65.830145,74.509973
0.62852,1961606272.1193519,0.978117,33.209666,72.278044
0.861483,4169598903.4328403,9.43231,43.147345,56.298902
0.61673,6382322440.81922,2.54007,70.470772,74.08307
0.659136,3053425854.7811265,0.959528,43.357087,69.76716
0.936234,4289246654.2978153,0.977011,39.016523,51.661806
0.605915,1922341259.9826362,3.5197,35.918728,75.064887
0.908657,5580885307.622626,10.4276,47.802543,54.087572
0.833083,5990955279.929112,6.95067,53.347888,57.871226
0.400698,1326286529.080552,12.6015,27.493806,73.889889
0.808829,2631638835.186027,1.18754,33.999189,58.448734
0.648523,5848295401.83935,5.19888,65.83365,72.292109
0.458194,2067169259.6865115,1.89692,32.448709,73.199766
0.757426,6591605185.009283,10.6711,61.53011,63.42679
0.917684,2353134465.80818,4.31981,29.607124,53.322866
0.60626,3262453193.439042,9.11061,50.872281,76.086851
0.658291,6162808402.171946,1.58515,65.615974,70.30512
0.463573,3024159165.846259,12.6864,48.472256,76.63029
0.244097,6665520600.302805,0.864326,62.209108,64.588691
0.454805,6999639166.750279,1.28967,72.356959,72.356959
0.599013,1905750504.793652,8.94636,37.977276,76.432176
0.418093,4860210520.491629,1.0758,55.522323,69.981234
0.526452,3361985235.076421,4.56148,50.928302,76.722541
0.905991,4465601251.417456,0.965,41.495339,53.241884
0.198515,1966163100.9464002,11.1438,29.717004,69.703718
0.776293,3905037501.4756227,7.5019,45.708237,61.692757
0.768496,6923584293.592062,9.38864,62.067114,62.441805
0.256603,4640558746.479227,7.79415,54.793331,70.61784
0.705181,3369154023.1007085,1.06217,43.983121,66.078144
0.124419,6967039203.804252,14.0379,70.223484,70.401135
0.161637,6558417675.481184,7.41655,65.449805,68.517378
0.797126,4252207277.828608,1.64559,45.375953,59.342042
0.936312,5193822746.586237,1.3401,43.35095,51.772189
0.53208,2951957227.7631664,1.93434,45.261485,75.583718
0.992344,5052847384.345982,7.43028,39.698435,48.456821
0.709886,1063294677.4683169,13.1373,25.272593,67.667457
0.663288,3649807281.8327236,1.78301,48.941023,69.970307
0.98005,1103616384.8222141,14.8753,18.910081,49.414245
0.336662,4136426328.0263214,3.75629,50.612494,70.661469
0.647922,2829946361.349092,1.24088,42.346542,70.973158
0.728245,1424779091.4031427,2.85236,26.437939,64.975742
0.550884,5707699425.686606,11.4262,70.024709,77.976666
0.518156,5886535037.300818,5.35178,69.857785,76.85794
