Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.718015,8921510.0,0.308611,37254100.0,-3.170577045022194e-08,-3.170577045022194e-08,1916841771.327156,4.60932,25.925405,37.06528,1.76184,36.033097,108.07689,0.222634,0.222635,0.222635,51.1823,51.18266,51.18245,51.1823,51.18266,51.18245
0.997475,19234.2,0.44113,161790.0,101973842.73937857,1049921686.7469879,3172456025.4382873,5.4638,29.582763,29.438257,6.24688,29.582763,29.438257,0.09912,0.071559,0.089421,29.6032,29.438257,29.582763,29.6032,29.438257,29.582763
0.353053,18588.2,0.351558,242882.0,66963.76030437539,4983211.794546608,5402843721.592644,13.5993,9.844673,9.820513,5.38729,9.844673,9.820513,0.001241,0.00024,0.00034,9.85932,9.820513,9.844673,9.85932,9.820513,9.844673
0.894084,16837000.0,0.758846,575673.0,-3.170577045022194e-08,-3.170577045022194e-08,6231961175.683298,0.843591,42.932824,44.746585,1.85263,43.335434,46.46825,0.144134,0.144141,0.14414,76.9806,76.983374,76.983043,76.9806,76.983374,76.983043
0.157467,13955000.0,0.109806,639143.0,-3.170577045022194e-08,-3.170577045022194e-08,4619768932.833488,12.1638,76.385402,90.511272,1.70851,16.661092,61.640447,0.138466,0.138466,0.138466,83.3225,83.322526,83.322522,83.3225,83.322526,83.322522
0.102367,1765050.0,0.10234,759517.0,-3.170577045022194e-08,-3.170577045022194e-08,3760562317.962272,9.97446,33.634957,71.528928,3.91353,13.185509,64.016166,0.050673,0.050673,0.050673,57.273,57.273063,57.273059,57.273,57.273063,57.273059
0.64235,741433.0,0.242042,37518.2,240780976.53772986,2278431.832593532,4831147742.371124,3.31203,10.655385,10.444365,1.92244,10.655385,10.444365,0.181579,0.134729,0.148294,10.9953,10.444365,10.655383,10.9953,10.444365,10.655385
0.790453,12881700.0,0.361855,48445.5,-3.170577045022194e-08,2051655358.275206,4739242664.64185,1.10644,35.708459,39.956365,2.05678,39.255859,39.255909,0.010319,0.010312,0.010317,39.2455,39.255909,39.255859,39.2455,39.255909,39.255859
0.695264,52689.7,0.361346,16629.6,2749789473.6842103,2753019657.577679,2307060308.1611023,12.8035,38.30475,45.817067,7.63872,31.528013,45.817067,0.250384,0.250429,0.250451,68.7105,68.7256,68.731363,45.807,45.817067,45.820909
0.640711,14481200.0,0.310639,72064400.0,-3.170577045022194e-08,-3.170577045022194e-08,1512175188.2644901,6.56678,22.887227,34.660094,10.8118,57.684612,112.959583,0.202703,0.202704,0.202703,49.6432,49.643412,49.643261,49.6432,49.643412,49.643261
0.566365,24073.2,0.402947,21004.2,3071099239.061509,-3.170577045022194e-08,6254606902.080478,7.78761,49.449486,49.448583,2.14526,50.199745,50.646372,0.241519,0.241546,0.241557,74.1532,74.172874,74.174229,49.435467,49.448583,49.449486
0.457458,17447.9,0.248288,93019900.0,1080972098.9220037,-3.170577045022194e-08,2942314193.1945577,3.94388,35.529186,35.518023,10.0668,72.620107,102.606612,0.134557,0.133606,0.134359,35.4961,35.517994,35.529186,35.4961,35.518023,35.529186
0.501696,125976.0,0.473102,887224.0,1932042802.7901077,6318199112.238427,6231629067.722115,5.96086,33.703886,33.702403,4.03411,33.159864,33.702403,0.200832,0.200398,0.200465,33.6976,33.702403,33.703886,33.6976,33.702403,33.703886
0.424872,94888800.0,0.209957,61131200.0,-3.170577045022194e-08,-3.170577045022194e-08,1368010691.2253985,1.70501,12.275717,12.596298,2.2027,5.560837,12.62351,0.174729,0.173179,0.174926,4.52039,4.49599,4.527071,4.52039,4.49599,4.527071
