Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.647471,1692250.0,0.459499,350953.0,-3.170577045022194e-08,6153652504.755865,4062503400.438143,1.85806,53.719955,72.796408,14.9015,59.844581,77.169754,0.170528,0.170527,0.170529,77.169,77.169754,77.1698
0.433524,141260.0,0.338205,887870.0,1632881737.4762206,2896147748.890298,5113381797.336568,5.12774,35.25651,35.25138,0.818653,35.25651,35.25138,0.134227,0.134117,0.134164,35.2576,35.25138,35.25651
0.515925,38203.4,0.511264,10788.2,5551024096.385542,3138319277.1084337,6249512392.535265,1.85981,96.190461,96.19024,7.37674,96.190461,96.19024,0.020615,0.020612,0.020613,96.1803,96.19024,96.190461
0.468453,2134910.0,0.124683,15809600.0,5450453392.517438,-3.170577045022194e-08,5967519102.168407,4.37192,66.097962,66.096904,2.54202,58.125935,65.1073,0.063651,0.063651,0.063651,66.0984,66.096904,66.097962
0.652831,17183.9,0.112572,59020.5,5169540266.328472,-3.170577045022194e-08,5229610975.815388,7.36004,80.27078,80.269066,6.40575,59.756709,76.987511,0.021591,0.021588,0.021591,80.259,80.269066,80.27078
0.259255,8623780.0,0.250544,90237.5,-3.170577045022194e-08,-3.170577045022194e-08,3884690467.893149,1.03618,41.796138,65.796956,3.1361,47.292767,71.241482,0.214919,0.21492,0.214921,76.5107,76.511447,76.511425
0.185472,26709.9,0.105429,25911.5,2648726379.2010145,3041932466.708941,4926197699.991589,1.49509,32.427311,32.423806,1.59081,32.427311,32.423806,0.133926,0.133929,0.133982,32.4073,32.423806,32.427311
0.633048,18107.3,0.570234,2559990.0,4845320.228281547,412294229.54977804,1363033925.6646755,3.26956,13.397192,12.873959,8.82279,13.397192,12.873959,0.201964,0.018682,0.135173,13.7253,12.873958,13.397191
0.839823,38221400.0,0.601932,4278510.0,4352951807.228915,2253179137.6030436,4066949708.0708423,0.886979,42.345089,44.396377,14.7285,44.400207,44.396377,0.061432,0.06143,0.061431,44.401,44.396377,44.400207
0.366973,2949350.0,0.231239,7905280.0,4197916930.8814206,5453040583.386176,5588956878.878386,12.9403,55.915205,55.914204,1.61226,55.915205,55.914204,0.13432,0.13432,0.13432,55.9159,55.914204,55.915205
0.552073,81259.5,0.18442,1127760.0,6538059606.848447,-3.170577045022194e-08,1128303657.7098567,5.2591,25.493355,82.94801,3.41544,4.129972,66.486152,0.096441,0.09644,0.096442,82.9457,82.94801,82.946314
0.355196,400983.0,0.15381,486914.0,1380770133.1642358,1592976537.7298667,6213775848.117616,8.82906,26.288449,26.284728,14.374,26.288449,26.284728,0.043051,0.04303,0.043034,26.3067,26.284728,26.288449
0.671005,467923.0,0.369837,4170580.0,2357028852.2511096,3076788522.511097,3463560052.38039,5.89519,41.964341,41.955416,3.08242,41.964341,41.955416,0.225127,0.225027,0.225099,41.9638,41.955416,41.964341
0.457668,6281460.0,0.174391,32965700.0,908905516.8040583,1565526949.9048827,1491838103.006837,4.05086,15.59069,15.468064,5.10618,13.396949,15.468064,0.114658,0.114586,0.114661,15.6009,15.468064,15.59069
0.782244,1471380.0,0.308068,22281.9,6187450856.055802,3691093849.0805326,1724077615.4173274,4.63231,28.797368,58.806647,1.41151,17.106919,58.806647,0.282899,0.282907,0.282905,88.2081,88.20997,88.21029
