Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.502318,0.209550183,0.269703,0.0303678159,1403727330.374128,1513097653.7729867,6866428209.491428,1.32816,23.564554,23.563674,7.96287,23.564554,23.563674,0.261475,0.262005,0.262007,33.4547,33.461219,33.462558
0.449523,0.0325458106,0.390819,0.773373416,-3.170577045022194e-08,-3.170577045022194e-08,2541119509.0205374,2.25688,38.253918,73.040141,1.57834,34.38261,70.312046,0.061116,0.061121,0.061121,85.1171,85.121171,85.121112
0.727045,0.020703360639999998,0.405981,0.00352661356,1641295814.8383005,2117476220.6721623,6737025707.8532715,2.77446,29.298687,29.297696,1.43019,29.298687,29.297696,0.190244,0.190259,0.19026,35.7255,35.703806,35.705034
0.796582,0.552082468,0.660506,0.01035559128,6292920101.458466,5280072923.272036,1137407933.037819,9.29559,23.913348,60.7483,1.44792,22.092263,60.7483,0.171573,0.171581,0.171583,71.5278,71.530769,71.530861
0.933849,0.0647683362,0.599817,0.00782920574,62670672.16233355,283101109.70196575,3936889120.9260306,4.66617,6.687145,7.019731,2.81166,6.687145,7.019731,0.268827,0.084808,0.167984,8.67252,7.322853,7.824469
0.823471,0.0817923666,0.53198,0.2704573924,205301141.4077362,139619245.4026633,3123232217.6365952,4.76355,9.563933,9.64499,1.41619,9.563933,9.64499,0.230809,0.205768,0.22498,12.4499,12.116613,12.502642
0.896437,0.00360199416,0.27235,0.031164673999999996,-3.170577045022194e-08,5272571337.983513,1888084617.1054766,2.22541,26.469613,53.934111,10.3159,30.103819,61.178256,0.006263,0.006263,0.006263,61.1927,61.192657,61.192807
0.776145,0.16235215,0.101979,0.23077124119999998,275108528.8522511,700139188.3322765,4639941196.793971,8.30666,9.173249,8.892714,2.17799,9.173249,8.892714,0.284221,0.276405,0.280483,14.4289,13.066246,13.611792
0.596944,0.088133799,0.179655,0.007389632760000001,4553221306.277742,5641984781.230184,4874889981.639255,0.803961,58.254534,58.251814,4.16611,52.322285,58.251814,0.267437,0.267444,0.267445,83.7849,83.782398,83.786326
0.352609,0.00936088276,0.273581,0.048966165400000004,4545818008.877616,5530279010.779962,5777671655.883289,7.10035,56.401035,56.400254,0.884424,56.401035,56.400254,0.173805,0.173809,0.173809,66.6752,66.674694,66.675618
0.314821,0.0031245416400000003,0.204005,0.1909926778,2158905516.8040586,2367176284.083703,5767799040.880965,9.44911,34.569661,34.567378,9.23268,34.569661,34.567378,0.033031,0.033033,0.033033,34.8008,34.793713,34.796011
0.362128,0.0021036612279999997,0.183152,0.0326874252,1016232720.3551047,1470677235.2568166,3868561372.9775133,4.1915,12.051575,11.97747,3.46222,12.051575,11.97747,0.261231,0.261477,0.261494,17.168,16.987466,17.093259
0.385938,0.02837562334,0.384523,0.024926566639999998,-3.170577045022194e-08,-3.170577045022194e-08,6726653818.630663,5.06113,70.19598,71.81841,0.967097,66.840874,68.536376,0.032888,0.032888,0.032888,99.0613,99.061444,99.061444
0.633584,0.01062428054,0.36577,0.044589675,1513230500.951173,2486356689.917565,3430669814.476463,5.70283,31.801777,31.788871,1.18661,31.801777,31.788871,0.159273,0.159313,0.159315,36.6639,36.648325,36.66331
0.73392,0.02486777608,0.661305,0.0963300988,6904885859.226379,5855922637.920101,4065937906.8328195,1.60552,47.855517,64.256185,1.32109,51.990664,64.256185,0.2811,0.281107,0.281107,95.4899,95.491525,95.49205
0.524733,0.02558543724,0.199168,0.0714220146,1538432783.7666454,3196337983.5129995,3021365248.5970078,13.7591,34.531642,34.5174,1.43516,32.154671,34.5174,0.252946,0.252967,0.252967,48.0263,48.002895,48.022779
0.682812,0.0142343174,0.442577,0.669143178,9924806.594800254,236967.2479391249,4486293726.154484,14.8392,4.907188,4.650482,8.41291,4.907188,4.650482,0.019531,6.271405e-07,5.421084e-05,5.31771,4.650481,4.907186
0.104734,0.306434755,0.100562,0.02922345008,2680475269.4990487,3549841471.147749,1485997380.8513625,3.43458,4.101169,25.828538,0.881783,0.895141,25.828538,0.099829,0.099916,0.099916,27.369,27.377161,27.383269
0.580145,0.529140272,0.490913,0.322587966,441995878.24984145,702539949.2707673,2481270961.337105,10.1828,19.990331,19.940992,4.41009,19.990331,19.940992,0.02414,0.023972,0.024185,20.0047,20.009749,20.060489
0.636907,0.0015898967060000001,0.430345,0.001127785242,-3.170577045022194e-08,-3.170577045022194e-08,5144310786.675598,12.9566,63.337235,74.205298,1.18943,58.456251,70.810398,0.065919,0.065919,0.065919,88.0141,88.01411,88.01411
0.184169,0.001959277416,0.116703,0.5721229840000001,2510435003.170577,3178871274.571972,6409149918.351517,2.66695,27.671401,27.67037,1.23572,27.671401,27.67037,0.253668,0.253993,0.253993,38.5418,38.571332,38.572786
0.698889,0.051908532,0.225209,0.00725565084,4005814838.3005705,4272194039.3151555,4560772172.867263,8.46116,51.732164,51.728856,8.53867,51.732164,51.728856,0.264179,0.26418,0.26418,73.8368,73.831258,73.83601
0.981023,0.00757587646,0.332293,0.0033970157,2368205136.334813,2382865884.590996,6050039433.925876,1.30576,26.832502,26.828161,0.810344,26.832502,26.828161,0.025589,0.025594,0.025594,26.9469,26.933605,26.93797
0.355352,0.001075838862,0.248736,0.29878094320000004,1209178186.4299302,171392675.967026,6341979303.87418,1.23022,6.416909,6.413739,5.6414,6.416909,6.413739,0.271202,0.253259,0.254882,9.24705,8.92547,8.963167
0.529673,0.2199492364,0.486437,0.89338627,5355675332.91059,5140909955.611921,2471206469.708873,2.07084,40.402059,65.903357,5.92398,42.423222,65.903357,0.210786,0.210801,0.210801,83.6376,83.640762,83.642161
0.626611,0.1273676666,0.555853,0.0061569234,4135840202.9169307,4126934051.9974637,1154901546.5307784,3.40272,25.048825,56.239589,1.52125,20.808251,56.239589,0.254672,0.254677,0.254678,78.5211,78.518803,78.522492
0.359648,0.2342724966,0.226831,0.01070149046,1939278059.6068485,1729448953.7095752,4286558487.631013,0.990602,23.208728,23.195919,5.85645,23.208728,23.195919,0.213024,0.21381,0.213824,29.5708,29.621395,29.638586
